"ROM address","bank","offset in bank","NES address","CDL byte repeat count","CDL byte","CDL byte description"
2455,0,2455,35223,1,2,"data"
2456,0,2456,35224,15,0,"unaccessed"
2471,0,2471,35239,1,2,"data"
2472,0,2472,35240,15,0,"unaccessed"
2487,0,2487,35255,1,2,"data"
2488,0,2488,35256,15,0,"unaccessed"
2503,0,2503,35271,1,2,"data"
2504,0,2504,35272,15,0,"unaccessed"
2519,0,2519,35287,1,2,"data"
2520,0,2520,35288,15,0,"unaccessed"
2535,0,2535,35303,1,2,"data"
2536,0,2536,35304,15,0,"unaccessed"
2551,0,2551,35319,1,2,"data"
2552,0,2552,35320,15,0,"unaccessed"
2567,0,2567,35335,1,2,"data"
2568,0,2568,35336,15,0,"unaccessed"
2583,0,2583,35351,1,2,"data"
2584,0,2584,35352,1,0,"unaccessed"
2585,0,2585,35353,1,2,"data"
2586,0,2586,35354,13,0,"unaccessed"
2599,0,2599,35367,1,2,"data"
2600,0,2600,35368,15,0,"unaccessed"
2615,0,2615,35383,1,2,"data"
2616,0,2616,35384,15,0,"unaccessed"
2631,0,2631,35399,1,2,"data"
2632,0,2632,35400,15,0,"unaccessed"
2647,0,2647,35415,1,2,"data"
2648,0,2648,35416,14,0,"unaccessed"
2662,0,2662,35430,2,2,"data"
2664,0,2664,35432,15,0,"unaccessed"
2679,0,2679,35447,1,2,"data"
2680,0,2680,35448,17,0,"unaccessed"
2697,0,2697,35465,1,2,"data"
2698,0,2698,35466,2,0,"unaccessed"
2700,0,2700,35468,2,2,"data"
2702,0,2702,35470,2,0,"unaccessed"
2704,0,2704,35472,3,2,"data"
2707,0,2707,35475,1,0,"unaccessed"
2708,0,2708,35476,4,2,"data"
2712,0,2712,35480,1,0,"unaccessed"
2713,0,2713,35481,13,2,"data"
2726,0,2726,35494,1,0,"unaccessed"
2727,0,2727,35495,2,2,"data"
2729,0,2729,35497,1,0,"unaccessed"
2730,0,2730,35498,1,2,"data"
2731,0,2731,35499,1,0,"unaccessed"
2732,0,2732,35500,11,2,"data"
2743,0,2743,35511,1,0,"unaccessed"
2744,0,2744,35512,6,2,"data"
2750,0,2750,35518,1,0,"unaccessed"
2751,0,2751,35519,4,2,"data"
2755,0,2755,35523,1,0,"unaccessed"
2756,0,2756,35524,1,2,"data"
2757,0,2757,35525,2,0,"unaccessed"
2759,0,2759,35527,1,2,"data"
2760,0,2760,35528,33,0,"unaccessed"
2793,0,2793,35561,1,2,"data"
2794,0,2794,35562,2,0,"unaccessed"
2796,0,2796,35564,2,2,"data"
2798,0,2798,35566,2,0,"unaccessed"
2800,0,2800,35568,3,2,"data"
2803,0,2803,35571,1,0,"unaccessed"
2804,0,2804,35572,4,2,"data"
2808,0,2808,35576,1,0,"unaccessed"
2809,0,2809,35577,13,2,"data"
2822,0,2822,35590,1,0,"unaccessed"
2823,0,2823,35591,2,2,"data"
2825,0,2825,35593,1,0,"unaccessed"
2826,0,2826,35594,1,2,"data"
2827,0,2827,35595,1,0,"unaccessed"
2828,0,2828,35596,11,2,"data"
2839,0,2839,35607,1,0,"unaccessed"
2840,0,2840,35608,6,2,"data"
2846,0,2846,35614,1,0,"unaccessed"
2847,0,2847,35615,4,2,"data"
2851,0,2851,35619,1,0,"unaccessed"
2852,0,2852,35620,1,2,"data"
2853,0,2853,35621,2,0,"unaccessed"
2855,0,2855,35623,1,2,"data"
2856,0,2856,35624,30,0,"unaccessed"
